"Timestamp","Apakah anda mengetahui produk indihome?","Apakah anda menggunakan atau berlangganan produk indihome?","Berapa kecepatan layanan indihome yang anda gunakan?","Apakah kecepatan jaringan indihome sesuai dengan harga yang ditawarkan?","Apakah selama anda menggunakan layanan indihome pernah mengalami kendala?","Seberapa sering anda mengalami kendala pada jaringan indihome?","Jika iya, kendala apa yang dialami?","Ketika anda mengalami kendala jaringan, seberapa cepat petugas indihome melakukan perbaikan?","Apakah anda puas dengan layanan perbaikan kendala jaringan yang dilakukan oleh petugas indihome?","Apakah anda pernah menggunakan produk selain indihome?","Jika iya, produk competitor apa yang pernah anda berlangganan?","Dari segi harga, apakah produk lain yang pernah anda gunakan lebih terjangkau?","Jika iya, apakah dengan harga yang lebih terjangkau yang ditawarkan produk lain, anda tetap berlangganan dengan indihome?","Apa alasan anda tetap ingim berlangganan produk indihome?","Apakah anda mengetahui telkomsel orbit?","Apakah ditempat anda terjangkau telkomsel orbit?","Apakah anda menggunakan telkomsel orbit?","Jika iya, bagaimana kualitas telkomsel orbit dibanding dengan produk competitor lainnya?","Apakah harga yang ditawarkan telkomsel orbit masih terjangkau?","Kendala apa saja yang anda alami selama menggunakan telkomsel orbit?"
"2021/07/29 9:55:33 pm GMT+7","Ya","Ya","50 Mbps","Tidak","Ya","setiap hari","redaman fiber optik - 40. internet putus. ping jelek. ","Satu kali 24 jam","Tidak","Ya","lokal","Ya","Ya","ga ada isp laen yang nawarin harga lebih cocok","Ya","Tidak","Tidak","","",""
"2021/07/30 8:04:28 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Ya","Tidak","Tidak","","",""
"2021/07/31 5:50:36 am GMT+7","Tidak","","","","","","","","","","","","","","","","","","",""
"2021/07/31 2:06:40 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/31 2:08:48 pm GMT+7","Ya","Ya","10 Mbps","Ya","Ya","Seminggu sekali","Tidak dapat akses internet","< 24 jam","Ya","Tidak","Tidak ada","Tidak","Tidak","Harga terjangkau","Ya","Ya","Tidak","","",""
"2021/07/31 2:40:12 pm GMT+7","Ya","Ya","10 Mbps","Ya","Ya","Lumayan sering","Sinyal tiba tiba down","< 24 jam","Tidak","Ya","Biznet","Tidak","Tidak","Penawaran produk","Tidak","","","","",""
"2021/07/31 2:40:30 pm GMT+7","Ya","Ya","10 Mbps","Ya","Ya","Lumayan sering","Sinyal tiba tiba down","< 24 jam","Tidak","Ya","Biznet","Tidak","Tidak","Penawaran produk","Tidak","","","","",""
"2021/07/31 2:41:13 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/31 2:42:57 pm GMT+7","Ya","Ya","10 Mbps","Mungkin","Ya","Sering","Hilang sinyal","Satu kali 24 jam","Ya","Tidak","-","Tidak","Tidak","-","Ya","Ya","Tidak","","",""
"2021/07/31 2:45:16 pm GMT+7","Ya","Ya","50 Mbps","Ya","Ya","Sering","No acces","< 24 jam","Ya","Tidak","Tidak ada","Tidak","Ya","Produk lain tidak terjangaku di daerah sata","Ya","Ya","Tidak","","",""
"2021/07/31 2:46:21 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/31 2:47:51 pm GMT+7","Ya","Ya","20 Mbps","Tidak","Ya","Lumayan","Putus sinyal","< 24 jam","Ya","Tidak","-","Tidak","Ya","Belum ada akses produk lain","Tidak","","","","",""
"2021/07/31 2:49:28 pm GMT+7","Ya","Ya","10 Mbps","Mungkin","Ya","Mungkin seminggu sekali","Sinyal down","Satu kali 24 jam","Tidak","Tidak","-","Tidak","Ya","Harganya mungkin","Tidak","","","","",""
"2021/07/31 2:50:08 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Ya","Ya","Tidak","","",""
"2021/07/31 2:51:31 pm GMT+7","Ya","Ya","10 Mbps","Ya","Ya","Lumayan","Akses gagal","< 24 jam","Ya","Tidak","tidak ada","Tidak","Ya","Pelayanan","Tidak","","","","",""
"2021/07/31 2:53:58 pm GMT+7","Ya","Ya","20 Mbps","Mungkin","Ya","Lumayan, lebih sering siang hari","Tibatiba sibyal down","< 24 jam","Ya","Tidak","Tdk ada","Tidak","Ya","The one and only indihome","Tidak","","","","",""
"2021/07/31 2:54:15 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Ya","Ya","Tidak","","",""
"2021/07/31 2:54:26 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/31 2:55:47 pm GMT+7","Ya","Ya","50 Mbps","Ya","Ya","Ga terlalu sering","Router sering eror","< 24 jam","Ya","Tidak","tidak ada","Tidak","Ya","Layanan perbaikan","Tidak","","","","",""
"2021/07/31 2:56:01 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/31 2:56:15 pm GMT+7","Tidak","","","","","","","","","","","","","","","","","","",""
"2021/07/31 2:57:56 pm GMT+7","Ya","Ya","20 Mbps","Tidak","Ya","tidak terlalu sering","Down","Satu kali 24 jam","Ya","Ya","Biznet","Tidak","Ya","Lebih gampang mengurusnya drpd produk lain","Tidak","","","","",""
